press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
뉴데일리,"현대로템, ESG 종합평가 2년 연속 'A+' … 2년새온실가스27% ↓",,,,,,,온실가스
뉴데일리,"현대로템, 2년 연속 ESG 평가 최고 등급 'A+'",,,,,,,온실가스
노컷뉴스,"현대로템, 한국ESG기준원 평가서 2년 연속 'A+'",네이버뉴스,https://n.news.naver.com/mnews/article/079/0004087849?sid=102,,노컷뉴스,"현대로템, 2년 연속 ESG 평가 최고 등급 'A+'","한국ESG기준원 평가 지난해 이어 또 최고 등급 획득
현대로템 본사. 현대로템 제공
현대로템이 2년 연속 국내 대표 ESG 평가에서 최고 등급을 따냈다.
현대로템은 한국ESG기준원(KCGS)이 발표한 '2025 상장기업 ESG 평가 및 등급 공표 결과'에서 통합 A+(매우 우수) 등급을 받았다고 20일 밝혔다. 지난해 처음 A+ 등급을 받은 이후 2년 연속 최고 등급을 획득했다.
KCGS ESG 평가는 국내 상장회사의 지속가능경영 수준을 평가하고자 지난 2011년부터 매년 시행하고 있다. 현대로템은 이번 평가를 통해 2년 연속 A+ 등급을 획득하며 방산업계 ESG 경영의 선도적 기준이 되고 있다고 평가했다.
방산 중심의 사업구조로 인해 ESG 분야 중 환경(E), 사회(S) 영역의 관리 난이도가 다른 업계에 비해 상대적으로 높음에도 체계적인 지속가능경영과 관리에 집중해 일궈낸 성과라는 것이다.
구체적으로 환경 분야에서는 기후변화, 탄소중립, 자원순환 등 주요 환경 요소들을 이사회가 직접 심의하는 구조를 수립해 기후 전략을 고도화했다. 그 결과 2022년 대비 2024년 단위 매출당 온실가스 배출량 약 27%, 에너지 사용량은 약 24%를 감축하는 성과를 거뒀다.
또 한국형 녹색분류 체계 기반의 투자 집행, 협력사 환경 리스크 점검 등 가치사슬 전반에 대한 관리 수준도 강화해 환경 부문에서 우수한 평가를 받았다.
사회 분야에서는 협력사 상생 기반을 제고하기 위한 재무, 기술, 교육 등 다양한 동반성장 프로그램을 운영하고 고충처리 체계를 마련했다. 아울러 공급망 전반에 걸친 사회적 책임 강화를 위해 협력사 행동규범을 바탕으로 정기적인 ESG 실사를 진행하고 있다. 지난해에는 186개 주거래 협력사를 대상으로 ESG 특별 점검을 벌였다.
특히 현대로템은 '사람이 먼저'라는 인식 속에 안전보건 정책과 중장기 목표를 투명하게 공개하고 사업장 안전 점검 활동을 정례화했다. 이와 함께 협력사의 안전 역량을 함께 개선하고 고위험군 업체는 별도로 안전 관리에 나서는 등 전체적인 공급망 안전 수준을 높이는 데 힘썼다.
현대로템 관계자는 ""나날이 심화되는 글로벌 복합 경영환경 속에서도 '완벽한 품질과 적기 납품'을 핵심 토대로 ESG는 물론 경제적 가치를 함께 실현하는 지속가능한 기업으로 거듭나고 있다""고 말했다.
※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.
이메일 :
jebo@cbs.co.kr
카카오톡 :
@노컷뉴스
사이트 :
https://url.kr/b71afn",온실가스
이데일리,"현대로템, ESG 종합평가 '2년 연속 A+' 결실",네이버뉴스,https://n.news.naver.com/mnews/article/018/0006168215?sid=103,,이데일리,"현대로템, 한국ESG기준원 평가서 2년 연속 'A+'","[이데일리 정병묵 기자] 현대로템(064350)이 지난해에 이어 국내 대표 ESG 평가에서 또 다시 상장사 중 최고 등급을 획득했다.
현대로템은 한국ESG기준원(KCGS)이 발표한 ‘2025 상장기업 ESG 평가 및 등급 공표 결과’에서 통합 A+(매우 우수) 등급을 받았다고 20일 밝혔다. 이로써 현대로템은 지난해 처음 A+ 등급을 받은 이래 2년 연속으로 A+ 등급을 획득했다.
KCGS ESG 평가는 국내 상장회사의 지속가능경영 수준을 평가하고자 지난 2011년부터 매년 시행되고 있으며 국제 기준에 부합하는 평가모형을 통해 엄격히 심사되고 있다.
현대로템은 이번 평가를 통해 2년 연속 A+ 등급을 획득하며 방산업계 ESG 경영의 선도적 기준이 되고 있다. 방산 중심의 사업구조로 인해 ESG 분야 중 환경(E), 사회(S) 영역의 관리 난이도가 다른 업계에 비해 상대적으로 높음에도 체계적인 지속가능경영과 관리에 집중해 일궈낸 성과다.
구체적으로 우선 환경 분야에서는 기후변화, 탄소중립, 자원순환 등 주요 환경 요소들을 이사회가 직접 심의하는 구조를 수립해 기후전략을 고도화했다. 그 결과 2022년 대비 2024년 단위 매출당 온실가스 배출량 약 27%, 에너지 사용량은 약 24%를 감축하는 성과를 거뒀다.
또 한국형 녹색분류체계 기반의 투자 집행, 협력사 환경 리스크 점검 등 가치사슬 전반에 대한 관리 수준도 강화해 환경 부문에서 우수한 평가를 받을 수 있었다.
사회 분야에서는 협력사 상생 기반을 제고하기 위한 재무, 기술, 교육 등 다양한 동반성장 프로그램을 운영하고 고충처리 체계를 마련했다. 아울러 공급망 전반에 걸친 사회적 책임 강화를 위해 협력사 행동규범을 바탕으로 정기적인 ESG 실사를 진행하고 있다. 지난해에는 186개 주거래 협력사를 대상으로 ESG 특별 점검을 실시하기도 했다.
특히 현대로템은 ‘사람이 먼저’라는 인식 속에 안전보건 정책과 중장기 목표를 투명하게 공개하고 사업장 안전 점검 활동을 정례화했다. 또 협력사의 안전 역량을 함께 개선하고 고위험군 업체는 별도로 안전 관리에 나서는 등 전체적인 공급망 안전 수준을 높이는데 힘썼다.
현대로템 관계자는 “나날이 심화되는 글로벌 복합 경영환경 속에서도 ‘완벽한 품질과 적기 납품’을 핵심 토대로 ESG는 물론 경제적 가치를 함께 실현하는 지속가능한 기업으로 거듭나고 있다”며 “앞으로도 투명성을 기반으로 꾸준한 혁신을 통해 지속가능성과 시장 경쟁력을 강화할 것”이라고 말했다.",온실가스
파이낸셜뉴스,"현대로템, ESG 종합평가 2년 연속 ‘A+’",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005437220?sid=101,,파이낸셜뉴스,"현대로템, ESG 종합평가 '2년 연속 A+' 결실","현대로템 본사 전경. 현대로템 제공
[파이낸셜뉴스] 현대로템이 지난해에 이어 국내 대표 환경·사회·지배구조(ESG) 평가에서 또 다시 상장사 중 최고 등급을 획득하며 방산 ESG 경영의 새로운 기준점을 제시했다.
현대로템은 한국ESG기준원(KCGS)이 발표한 2025 상장기업 ESG 평가 및 등급 공표 결과에서 '통합 A+(매우 우수)' 등급을 받았다고 20일 밝혔다. 현대로템은 지난해 처음 A+ 등급을 받은 이래 2년 연속으로 A+ 등급을 획득했다.
KCGS ESG 평가는 국내 상장회사의 지속가능경영 수준을 평가하고자 지난 2011년부터 매년 시행되고 있으며, 국제 기준에 부합하는 평가모형을 통해 엄격히 심사되고 있다.
현대로템의 2년 연속 A+ 등급 획득은 방산업계 ESG 경영의 선도적 기준이 되고 있다. 방산 중심의 사업구조로 인해 ESG 분야 중 환경(E), 사회(S) 영역의 관리 난이도가 다른 업계에 비해 상대적으로 높음에도 체계적인 지속가능경영과 관리에 집중해 일궈낸 성과다.
환경분야에서는 주요 환경 요소들을 이사회가 직접 심의하는 구조를 수립해 기후전략을 고도화했다. 그 결과 2022년 대비 2024년 단위 매출당 온실가스 배출량 약 27%, 에너지 사용량은 약 24%를 감축하는 성과를 거뒀다.
사회분야에서는 동반성장 프로그램 운영과 더불어 고충처리 체계를 마련했다. 또, 사회적 책임 강화를 위해 협력사 행동규범을 바탕으로 정기적 ESG 실사를 진행하고 있다. 지난해에는 186개 주거래 협력사를 대상으로 ESG 특별 점검을 진행했다.
특히 현대로템은 '사람이 먼저'라는 인식 속에 안전보건 정책과 중장기 목표를 투명하게 공개하고 사업장 안전 점검 활동을 정례화했다. 또 협력사의 안전 역량을 함께 개선하고 고위험군 업체는 별도로 안전 관리에 나서는 등 전체적인 공급망 안전 수준을 높이는데 힘썼다.
현대로템 관계자는 ""나날이 심화되는 글로벌 복합 경영환경 속에서도 '완벽한 품질과 적기 납품'을 핵심 토대로 ESG는 물론 경제적 가치를 함께 실현하는 지속가능한 기업으로 거듭나고 있다""며 ""앞으로도 투명성을 기반으로 꾸준한 혁신을 통해 지속가능성과 시장 경쟁력을 강화할 것""이라고 말했다.",온실가스
헤럴드경제,"기후부,온실가스다배출 업종 철강·정유 현장 찾아 탈탄소 논의",네이버뉴스,https://n.news.naver.com/mnews/article/016/0002560377?sid=101,,헤럴드경제,"기후부, 온실가스 다배출 업종 철강·정유 현장 찾아 탈탄소 논의","기후부, 포항 포스코 수소환원제철과 현대제철 전기로 중심 철강생산 등 현장 소통
울산 ‘탄소 포집·액화(CCU)’ 사업 및 바이오원료 전처리 공장 시찰도
[헤럴드경제=이태형 기자]기후에너지환경부는 산업부문의 탈탄소 녹색문명 전환지원을 위해 20일 국내 대표 공업도시인 포항과 울산에서 제조업 현장 소통을 갖는다고 밝혔다.
현장 소통 첫 일정으로 안세창 기후부 기후에너지정책실장은 철강기업인 포스코와 현대제철이 위치한 포항 국가산업단지를 방문한다.
철강산업은 2024년 기준 국내 전체 온실가스 순배출량(약 6억5140만톤)의 15%(산업부문 40%)를 차지하는 대표적인 다배출 업종으로, 철강산업의 온실가스 감축이 ‘국가 온실가스 감축 목표’ 달성 여부를 좌우할 수 있다.
이에 포스코는 수소환원제철 기반시설 구축을 추진하고 있고, 현대제철은 전통 고로가 아닌 전기로 중심으로 철강제품을 생산해 온실가스 감축을 시도하고 있다.
[기후에너지환경부 자료]
안 실장은 포스코와 현대제철의 탄소중립 추진 현황을 듣고, 이를 위한 정부의 저탄소 철강제품 수요 창출 지원 등 건의사항을 수렴할 계획이다.
안 실장은 이어 울산의 수소경제 선도기업 어프로티움의 수소 생산과 이산화탄소 포집 공정을 확인한다.
어프로티움은 울산 지역에 약 70㎞에 달하는 수소 배관망으로 인근의 정유·석유화학 단지에 수소를 공급해 이들 공정에서의 연료전환을 돕고 있다.
수소 생산과정에서 발생하는 이산화탄소를 포집·액화해 반도체 공장에 공급하는 등 ‘탄소 포집·액화(CCU, Carbon Capture & Utilization)’ 사업도 추진 중이다.
안 실장은 어프로티움과 함께 ‘탄소 포집·액화’ 기반 탈탄소 산업생태계 조성 및 국내 다배출 산업의 탄소감축 가속화를 위한 수소공급 안정화 방안에 대해 의견을 교환할 예정이다.
제이씨케미칼이 지난달 준공한 울산신항의 바이오원료 전처리(PTU, Pretreatment Unit) 공정도 확인한다.
바이오원료 전처리는 폐식용유 외 팜부산물·음폐유 등 저급 바이오원료를 고품질 지속가능항공유(SAF) 원료로 정화하는 공정이다.
안 실장은 정유산업 탈탄소화를 위한 바이오원료 확보·연료화 등 전주기 공급망 강화 측면에서 제이씨케미칼의 적극적인 기여를 요청할 계획이다.
안 실장은 “다배출 산업의 경쟁력 유지와 탄소감축 병행이 가능한 구조를 위해 정부가 업계의 공정전환에 적극 협력할 것”이라며, “수소환원제철, 바이오연료, 탄소 포집·액화 등 핵심 저탄소기술이 산업현장에서 하루빨리 안착할 수 있도록 업계의 기술혁신을 위한 정책 지원을 강화하겠다”라고 밝혔다.",온실가스
헤럴드경제,"기후부,온실가스多배출업 철강·정유 현장 찾아 탈탄소 전환 논의",네이버뉴스,https://n.news.naver.com/mnews/article/016/0002560377?sid=101,,헤럴드경제,"기후부, 온실가스 다배출 업종 철강·정유 현장 찾아 탈탄소 논의","기후부, 포항 포스코 수소환원제철과 현대제철 전기로 중심 철강생산 등 현장 소통
울산 ‘탄소 포집·액화(CCU)’ 사업 및 바이오원료 전처리 공장 시찰도
[헤럴드경제=이태형 기자]기후에너지환경부는 산업부문의 탈탄소 녹색문명 전환지원을 위해 20일 국내 대표 공업도시인 포항과 울산에서 제조업 현장 소통을 갖는다고 밝혔다.
현장 소통 첫 일정으로 안세창 기후부 기후에너지정책실장은 철강기업인 포스코와 현대제철이 위치한 포항 국가산업단지를 방문한다.
철강산업은 2024년 기준 국내 전체 온실가스 순배출량(약 6억5140만톤)의 15%(산업부문 40%)를 차지하는 대표적인 다배출 업종으로, 철강산업의 온실가스 감축이 ‘국가 온실가스 감축 목표’ 달성 여부를 좌우할 수 있다.
이에 포스코는 수소환원제철 기반시설 구축을 추진하고 있고, 현대제철은 전통 고로가 아닌 전기로 중심으로 철강제품을 생산해 온실가스 감축을 시도하고 있다.
[기후에너지환경부 자료]
안 실장은 포스코와 현대제철의 탄소중립 추진 현황을 듣고, 이를 위한 정부의 저탄소 철강제품 수요 창출 지원 등 건의사항을 수렴할 계획이다.
안 실장은 이어 울산의 수소경제 선도기업 어프로티움의 수소 생산과 이산화탄소 포집 공정을 확인한다.
어프로티움은 울산 지역에 약 70㎞에 달하는 수소 배관망으로 인근의 정유·석유화학 단지에 수소를 공급해 이들 공정에서의 연료전환을 돕고 있다.
수소 생산과정에서 발생하는 이산화탄소를 포집·액화해 반도체 공장에 공급하는 등 ‘탄소 포집·액화(CCU, Carbon Capture & Utilization)’ 사업도 추진 중이다.
안 실장은 어프로티움과 함께 ‘탄소 포집·액화’ 기반 탈탄소 산업생태계 조성 및 국내 다배출 산업의 탄소감축 가속화를 위한 수소공급 안정화 방안에 대해 의견을 교환할 예정이다.
제이씨케미칼이 지난달 준공한 울산신항의 바이오원료 전처리(PTU, Pretreatment Unit) 공정도 확인한다.
바이오원료 전처리는 폐식용유 외 팜부산물·음폐유 등 저급 바이오원료를 고품질 지속가능항공유(SAF) 원료로 정화하는 공정이다.
안 실장은 정유산업 탈탄소화를 위한 바이오원료 확보·연료화 등 전주기 공급망 강화 측면에서 제이씨케미칼의 적극적인 기여를 요청할 계획이다.
안 실장은 “다배출 산업의 경쟁력 유지와 탄소감축 병행이 가능한 구조를 위해 정부가 업계의 공정전환에 적극 협력할 것”이라며, “수소환원제철, 바이오연료, 탄소 포집·액화 등 핵심 저탄소기술이 산업현장에서 하루빨리 안착할 수 있도록 업계의 기술혁신을 위한 정책 지원을 강화하겠다”라고 밝혔다.",온실가스
전기신문,"기후부, 포스코·현대제철 등 찾아 탈탄소 전환 논의",,,,,,,온실가스
전자신문,"수소환원제철·CCU·바이오연료…기후부, 다배출 산업 현장 점검",네이버뉴스,https://n.news.naver.com/mnews/article/030/0003372199?sid=101,,전자신문,"기후부, 포스코·현대제철 등 찾아 탈탄소 전환 논의","기후에너지환경부는 산업부문의 탈탄소 녹색문명 전환지원을 위해 20일 우리나라 대표 공업도시인 포항과 울산 제조업 현장 소통을 갖는다고 밝혔다.
포스코 포항제철소 2고로. [자료:포스코]
안세창 기후에너지환경부 기후에너지정책실장은 포스코와 현대제철이 위치한 포항 국가산업단지를 방문한다. 철강산업은 2024년 기준 국내 전체 온실가스 순배출량(약 6억 5140만톤)의 15%(산업부문 40%)를 차지하는 대표적인 다배출 업종으로 철강산업의 온실가스 감축이 '국가 온실가스 감축 목표' 달성 여부를 좌우할 수 있다.
포스코는 수소환원제철 기반시설 구축을 추진하고 있으며, 현대제철은 전통 고로가 아닌 전기로 중심으로 철강제품을 생산해 온실가스 감축을 시도하고 있다. 안 실장은 국내 친환경 철강 생산체계 구축 방안을 업계와 함께 논의한다. 포스코와 현대제철의 탄소중립 추진 현황을 듣고, 이를 위한 정부의 저탄소 철강제품 수요 창출 지원 등 건의사항을 수렴할 계획이다.
안 실장은 울산의 수소경제 선도기업 어프로티움의 수소 생산과 이산화탄소 포집 공정을 확인한다. 어프로티움은 울산 지역에 약 70㎞에 달하는 수소 배관망으로 인근의 정유·석유화학 단지에 수소를 공급해 연료전환을 돕고 있다. 또 수소 생산과정에서 발생하는 이산화탄소를 포집·액화해 반도체 공장에 공급하는 등 '탄소 포집·액화(CCU)' 사업도 추진 중이다. 안 실장은 어프로티움과 함께 '탄소 포집·액화' 기반 탈탄소 산업생태계 조성 및 국내 다배출 산업의 탄소감축 가속화를 위한 수소공급 안정화 방안에 대해 의견을 교환할 예정이다.
안 실장은 이후 제이씨케미칼이 지난달 준공한 울산신항의 바이오원료 전처리(PTU) 공정도 확인한다. 해당 공정은 정유산업이 바이오원료를 바이오항공유 원료로 활용해 탄소배출을 줄이기 위해 반드시 필요한 준비 단계다. 제이씨케미칼은 국내외 바이오원료 공급망을 구축해 바이오디젤 등 친환경 석유대체연료를 생산하는 기업이다. 안 실장은 정유산업 탈탄소화를 위한 바이오원료 확보·연료화 등 전주기 공급망 강화 측면에서 제이씨케미칼의 적극적인 기여를 요청할 계획이다.
안세창 실장은 “다배출 산업의 경쟁력 유지와 탄소감축 병행이 가능한 구조를 위해 정부가 업계의 공정전환에 적극 협력할 것”이라며 “수소환원제철, 바이오연료, 탄소 포집·액화 등 핵심 저탄소기술이 산업현장에서 하루빨리 안착할 수 있도록 업계의 기술혁신을 위한 정책 지원을 강화하겠다”라고 말했다.",온실가스
조선일보,한국이 2035년까지온실가스를 얼마나 줄일지 ‘NDC’ 공표했다는데,네이버뉴스,https://n.news.naver.com/mnews/article/023/0003942228?sid=101,,조선일보,한국이 2035년까지 온실가스를 얼마나 줄일지 ‘NDC’ 공표했다는데,"[WEEKLY BIZ] [깨알5Q] NDC는 국가 온실가스 감축 목표의 약자
브라질 벨렝에서 개최되는 COP30(제30차 유엔기후변화협약 당사국총회) 본관 앞에서 지난 10일 환경단체 회원 등이 세계 각국 정부에 더욱 강력한 친환경 규제를 만들라고 촉구하는 시위를 하고 있다./AFP 연합
11일 국무회의에서 2035년 국가 온실가스 감축 목표(NDC·Nationally Determined Contribution)가 확정되며 산업계에 상당한 부담으로 작용할 것이란 우려가 나온다. 이번에 확정된 한국의 2035년 NDC는 브라질 벨렝에서 10~21일 진행되는 제30차 유엔기후변화협약 당사국 총회를 통해 국제사회에 공표된다.
Q1. NDC란
NDC를 이해하려면 우선 2015년에 체결된 파리기후변화협정(파리협정)부터 알아야 한다. 파리협정은 기존의 교토의정서(1997년 채택)가 선진국에만 온실가스 감축 의무를 부여해 실효성이 떨어진다는 지적에 따라 선진국은 물론 개발도상국까지 전 세계 195국이 참여하는 체제로 등장했다. 목표는 ‘지구 평균 기온 상승을 산업화 이전 대비 가능하면 1.5도 이내로 제한하자’는 것이었다. 이를 위해 각국은 스스로 감축 목표를 정해 제출하기로 했는데, 이때 이 감축 목표가 NDC다.
Q2. 왜 2035년까지의 목표를 다루나
2015년 파리협정에서 각국은 첫 번째 NDC로 2030년까지의 온실가스 감축 목표를 제시했다. 박근혜 정부 당시 한국도 온실가스 배출량을 2030년까지 배출 전망치(BAU)보다 37% 줄이는 목표를 제시했고, 이후 문재인 정부 들어 강화하는 등 조정이 있어 왔다. 이번에 2035년까지 목표를 새로 제시하는 건 파리협정 체제에서 각국이 5년 주기로 NDC를 갱신·강화하기로 했기 때문이다.
Q3. 이번 한국의 목표치는
2035년까지 온실가스 배출량을 2018년(순배출량 기준 7억4230만t) 대비 53~61% 줄인다는 것이다. 앞서 주무 부처인 기후에너지환경부는 대국민 공청회를 통해 ‘50~60% 감축’안과 ‘53~60% 감축’안을 제시했으나, “강한 감축 의지를 국제사회에 표명해야 한다”는 논리가 세지며 상한이 1%포인트 오른 53~61%가 됐다. 이 목표가 달성되면 2035년 한국의 온실가스 배출량은 2억8950만~3억4890만t이 된다.
Q4. 산업계 반응은
산업계에선 “현실을 외면한 과한 목표”라는 반발이 나온다. 특히 석유화학 업계는 탄소 감축을 위해 친환경 대체 원료인 ‘바이오나프타’ 사용을 확대하고 연료 전환 등을 추진하는 데 드는 비용이 막대해 추진이 쉽지 않다는 주장이다. 또 전기·수소차의 신차 보급을 2035년 70% 이상 달성한다는 목표 역시 내연기관차 퇴출에 가까운 수준이라며 업계 부담이 커질 전망이다.
Q5. 다른 나라들 목표는
통상 NDC를 정할 때 각국은 온실가스 배출량이 정점을 찍은 해를 기준으로 삼는다. 이에 나라별로 기준 연도가 들쑥날쑥이다. 전 세계 배출량 1위인 중국은 ‘2035년까지 정점 대비 7~10% 감축’이란 목표치를 내놨으나 앞으로 올 정점이 언제가 될지는 명시하지 않았다. 중국 지도부는 그간 2030년 이전에 배출 정점에 도달하겠다고만 해왔다. 배출량 2위인 미국은 도널드 트럼프 대통령 재임 직후 파리협정 탈퇴를 통보했고, 3위인 인도는 NDC 제출을 거부한 상태다.
최신 글로벌 경제 트렌드를 담은 WEEKLY BIZ 뉴스레터로 당신의 시야를 넓히세요.
WEEKLY BIZ 뉴스레터 구독하기
(https://page.stibee.com/subscriptions/146096)",온실가스
