press,title,naver_news_text,naver_news_url,body,press_html,title_html,body_html,label
머니투데이,탄소배출량 실시간 측정부터 거래까지…ESG 열풍에 VC도 뭉칫돈,네이버뉴스,https://n.news.naver.com/mnews/article/008/0004875413?sid=101,,머니투데이,탄소배출량 실시간 측정부터 거래까지…ESG 열풍에 VC도 뭉칫돈,"[이주의 핫딜] 탄소관리회계 스타트업 '엔츠', 20억 시리즈A 투자유치
[편집자주] 벤처·스타트업 투자흐름을 쫓아가면 미래산업과 기업들에 대한 인사이트를 얻을 수 있습니다. 한 주간 발생한 벤처·스타트업 투자건수 중 가장 주목받은 사례를 집중 분석합니다.
홍남기 부총리겸 기획재정부 장관이 7일 오전 서울 세종로 정부서울청사에서 2050 탄소중립 실현 추진전략 관련 합동 브리핑을 하고 있다. /사진=김휘선 기자 hwijpg@
기후 위기가 날로 심각해지면서 기업의 탄소중립은 선택이 아닌 필수인 시대가 됐다. 유럽연합이 일부 수입품목에 탄소국경세를 도입하고 미국은 뉴욕 증시에 상장한 기업을 대상으로 탄소배출량 공개를 의무화하고 있다. 국내도 마찬가지다. 모든 코스피 상장사가 2030년부터 ESG 공시를 의무화하는 등 각종 규제가 마련되고 있다.
엔츠는 기업의 탄소배출량을 측정하고 관리해 탄소중립 로드맵까지 지원하는 원스톱 플랫폼을 제공하는 스타트업이다. 플랫폼 출시 1년도 되지 않아 유료 고객들도 확보했다. 최근엔 인비저닝파트너스와 스마일게이트인베스트먼트로부터 20억원 규모의 시리즈A 투자를 받았다.
━
'한땀한땀' 수기로 작성한 탄소배출량, '엔스코프'로 자동 측정
━
엔츠의 탄소배출량 측정 관리 서비스형 소프트웨어(SaaS) '엔스코프' 화면/사진제공=엔츠
그동안 대다수의 기업들은 아날로그 방법으로 탄소중립을 관리해왔다. 기업 담당자가 각 부서에 엑셀 시트를 배포해 수기로 입력하는 방식으로 이뤄졌다. 컨설팅 업체에 맡기더라도 일 년에 한 번씩 이뤄져 지속적인 관리·감독이 어렵다는 한계가 있었다. 수천만원에서 1억원에 달하는 컨설팅 비용도 지불하는 등 부담이 상당했다.
더 큰 문제는 이런 정보가 정확하지 않을 가능성이 높다는 점이다. 탄소배출량 데이터 자체가 잘못되거나 누락되기도 쉽고 기업 담당자가 탄소중립 회계 기준에 맞춰 정보를 입력하기도 어렵기 때문이다. 특히, 기업이 발생시키는 직·간접 배출량(Scope 1, 2)과 협력사 등 기업의 밸류체인에서 발생하는 배출량(Scope 3)까지 측정해야 하는데 국내 기업의 '스코프 3(Scope 3)' 측정은 사실상 전무한 수준이다.
이에 엔츠는 탄소회계 서비스형 소프트웨어(SaaS)인 '엔스코프'는 선보였다. 기업의  각종 데이터를 전사적자원관리(ERP) 시스템을 통해 수집하는 것처럼 기업의 모든 활동 데이터를 엔스코프를 통해 수집한다. 차량 운행 기록이나 각종 기자재, 부품 구매 기록 등 기업의 활동 데이터는 바로 탄소배출량 데이터로 전환된다. 산정 기준은 국제회계기준(IFRS-17)과 같은 국제 표준에 따른다.
이번 투자에 참여한 스마일게이트인베스트먼트 관계자는 ""엔스코프는 국내 대기업도 부족한 스코프 3 항목도 일부 집계하고 있다""며 ""지난해 유니콘(기업가치 10억달러 이상 비상장사) 기업에 등극한 미국의 탄소회계 스타트업 워터셰드를 벤치마크해 스코프 3 항목을 모두 반영할 수 있도록 기술을 고도화하고 있다""고 했다.
투자자들은 엔츠 외에도 탄소회계 스타트업이 많지만 엔츠가 가장 먼저 관련 서비스를 상용화한 점을 긍정적으로 평가했다. 스마일게이트인베스트먼트 관계자는 ""국내엔 경쟁 솔루션이 없어 시장을 선점할 수 있는 기업이라고 판단했다""며 ""1년 전 피봇(스타트업이 사업모델을 전환하는 것)을 한 후 박광빈 엔츠 대표가 추진력 있게 사업을 진행하며 상용화에 나선 점도 주요 투자 포인트였다""고 말했다.
━
탄소배출 감축솔루션부터 거래까지, 탄소회계 원스톱 솔루션 제공
━
엔츠의 탄소배출량 측정 관리 서비스형 소프트웨어(SaaS) '엔스코프'의 탄소중립 로드맵 화면/사진제공=엔츠
엔츠는 탄소배출량을 측정하는 것을 넘어 탄소중립 리포트를 만들고 데이터를 기반으로 탄소중립 로드맵도 제공한다.  탄소배출량을 측정하는 기업은 많지만 감축을 위한 솔루션이나 탄소배출권 거래까지 제공하는 밸류체인을 구축한 기업은 엔츠가 거의 유일하다는 설명이다.
박인원 인비저닝파트너스 수석심사역은 ""기업들이 자체적으로 탄소배출량을 측정할 수는 있지만 이를 기반으로 감축 로드맵을 구현하는 것까지는 활성화돼 있지 않다""며 ""엔츠는 탄소중립 로드맵을 제공하는 밸류체인을 구축해 기업들이 편리하게 접근할 수 있고 기술 고도화를 위한 개발도 활발히 진행 중""이라고 투자 이유를 설명했다.
서비스 출시 1년 만에 유료 고객을 확보한 점도 긍정적이다. 엔츠는 SK에코플랜트, 생활협동조합 한살림 등 국내 기업들을 고개사로 두고 있다. 박 수석심사역는 ""국내 탄소회계 스타트업 중에서 솔루션을 실제로 출시하고 상용화해 유료 고객을 확보한 곳은 엔츠 뿐""이라며 ""먼저 시장을 선점해 성장할 수 있을 것으로 판단했다""고 말했다.
이어 ""유럽과 미국에서 탄소회계관리 유니콘이 등장했듯 각 국가별로 리딩 플레이어가 나올 것""이라며 ""국내에서는 엔츠가 가장 큰 성장잠재력을 갖고 있다고 생각하며 아시아권까지 진출하는 기업으로 성장하길 기대하고 있다""고 말했다.
[머니투데이 스타트업 미디어 플랫폼 '
유니콘팩토리
']",탄소중립
전기신문,"부산시, 시민주도로 온실가스 감축하는탄소중립마을 13곳 선정",,,,,,,탄소중립
경인매일,"중진공, ""인천형 민관협력탄소중립프로젝트""간담회개최 실효성 있는 ...",,,,,,,탄소중립
더구루,성장하는 中 환경보호 산업…탄소중립시대 블루오션 부상,,,,,,,탄소중립
뉴시스,'탈원전' 막 올린 독일 vs 더 짓겠다는 프랑스…기후대응 정반대 행보,네이버뉴스,https://n.news.naver.com/mnews/article/003/0011804983?sid=104,,뉴시스,'탈원전' 막 올린 독일 vs 더 짓겠다는 프랑스…기후대응 정반대 행보,"기사내용 요약
독, 15일 남은 원전 3개 폐쇄…탈원전 시대 개막
프 ""원전, 탄소중립 전략적 수단""…6기 신규 건설
[에센바흐=AP/뉴시스]지난해 3월 독일 에센바흐에 있는 원자력발전소 '이사르 2' 모습.
[서울=뉴시스]신정원 기자 = 독일의 원자력발전소(원전) 시대가 이번 주말 막을 내리는 가운데 프랑스 등은 오히려 원전을 새로 짓는 등 상반된 행보를 보이고 있다. 원전을 완전 폐쇄하는 것도, 신규 원전을 건설하는 것도 모두 명분은 기후변화 대응을 위한 탄소 중립이다.
독일은 15일(현지시간) 남아 있던 원자력발전소 3개 가동을 완전 중단한다.
일본 후쿠시마 원전 사고가 난 2011년 앙겔라 메르켈 당시 독일 총리는 2036년 예정이던 17개 원전 폐쇄 계획을 2022년 말로 앞당겼다. 그러나 올라프 숄츠 총리는 우크라이나 전쟁 여파로 인한 에너지난으로 남은 3개 원전의 수명을 올해 4월15일까지로 연장했다.
독일의 원전 폐쇄는 재생가능 에너지로 전환하고자 하는 장기적인 기후변화 대응의 일환이다. 로베르트 하베크 독일 부총리는 ""탈원전은 돌이킬 수 없다""며 ""2030년까지 재생에너지 발전 규모가 80%에 이르게 될 것""이라고 밝혔다.
그러나 유럽연합(EU) 내에선 원전을 두고 찬반 입장이 첨예하게 갈리고 있다.
오스트리아, 룩셈부르크 등도 독일과 같은 입장이지만, 정반대의 행보를 보이는 이들도 있다.
프랑스가 대표적이다. 원전에 찬성하는 쪽은 거꾸로 원자력 에너지가 탄소중립 목표를 달성하는 중대한 '전략적 수단'이라고 주장하고 있다.
프랑스 신규 원전 건설 책임자인 조엘 바레는 최근 폴리티코 인터뷰에서 ""더 많은 원전을 짓고 기존 원전의 수명을 연장하는 것이 화석 연료 사용을 줄이는데 필수적""이라고 말했다. 그는 ""투자가 이뤄지지 않으면 현재 가동 중인 원전은 2040년~2050년 수명을 다하기 때문에 벼랑 끝에 직면하게 된다""고 했다.
그는 ""나는 독일의 입장을 이해하지 못한다. 이번 세기 중반까지 재생 가능한 자원만으로 탄소제로를 달성할 수 없다고 보기 때문""이라고 덧붙였다.
프랑스는 신규 원전 건설을 추진 중이다. 2035년~2042년 '가압경수로(EPR) 2' 6기를 건설할 방침이다. 이것은 차세대 유럽형 EPR의 개선한 것이다. 2월 상원에 이어 지난달 하원이 관련 법안을 통과시켰다. 엘리자베트 보른 프랑스 총리는 ""기후변화 대응과 에너지 주권을 확보하기 위한 것""이라고 강조했다.
또 유럽 11개국 에너지 장관들은 2월28일 새로운 원자력 프로젝트 협력을 합의했다. 프랑스가 주도했고 불가리아, 크로아티아, 체코, 핀란드, 헝가리, 네덜란드, 폴란드, 루마니아, 슬로바키아, 슬로베니아가 참여했다.
이들은 신규 원전 건설 사업 공동 추진과 원자력 안전 규정 마련, 소형모듈원전(SMR) 등 신기술 개발에서 협력을 강화할 계획이다．",탄소중립
뉴시스,"독일, 완전 탈원전한다…오늘 자정에 남은 3기 영구정지",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011804983?sid=104,,뉴시스,'탈원전' 막 올린 독일 vs 더 짓겠다는 프랑스…기후대응 정반대 행보,"기사내용 요약
독, 15일 남은 원전 3개 폐쇄…탈원전 시대 개막
프 ""원전, 탄소중립 전략적 수단""…6기 신규 건설
[에센바흐=AP/뉴시스]지난해 3월 독일 에센바흐에 있는 원자력발전소 '이사르 2' 모습.
[서울=뉴시스]신정원 기자 = 독일의 원자력발전소(원전) 시대가 이번 주말 막을 내리는 가운데 프랑스 등은 오히려 원전을 새로 짓는 등 상반된 행보를 보이고 있다. 원전을 완전 폐쇄하는 것도, 신규 원전을 건설하는 것도 모두 명분은 기후변화 대응을 위한 탄소 중립이다.
독일은 15일(현지시간) 남아 있던 원자력발전소 3개 가동을 완전 중단한다.
일본 후쿠시마 원전 사고가 난 2011년 앙겔라 메르켈 당시 독일 총리는 2036년 예정이던 17개 원전 폐쇄 계획을 2022년 말로 앞당겼다. 그러나 올라프 숄츠 총리는 우크라이나 전쟁 여파로 인한 에너지난으로 남은 3개 원전의 수명을 올해 4월15일까지로 연장했다.
독일의 원전 폐쇄는 재생가능 에너지로 전환하고자 하는 장기적인 기후변화 대응의 일환이다. 로베르트 하베크 독일 부총리는 ""탈원전은 돌이킬 수 없다""며 ""2030년까지 재생에너지 발전 규모가 80%에 이르게 될 것""이라고 밝혔다.
그러나 유럽연합(EU) 내에선 원전을 두고 찬반 입장이 첨예하게 갈리고 있다.
오스트리아, 룩셈부르크 등도 독일과 같은 입장이지만, 정반대의 행보를 보이는 이들도 있다.
프랑스가 대표적이다. 원전에 찬성하는 쪽은 거꾸로 원자력 에너지가 탄소중립 목표를 달성하는 중대한 '전략적 수단'이라고 주장하고 있다.
프랑스 신규 원전 건설 책임자인 조엘 바레는 최근 폴리티코 인터뷰에서 ""더 많은 원전을 짓고 기존 원전의 수명을 연장하는 것이 화석 연료 사용을 줄이는데 필수적""이라고 말했다. 그는 ""투자가 이뤄지지 않으면 현재 가동 중인 원전은 2040년~2050년 수명을 다하기 때문에 벼랑 끝에 직면하게 된다""고 했다.
그는 ""나는 독일의 입장을 이해하지 못한다. 이번 세기 중반까지 재생 가능한 자원만으로 탄소제로를 달성할 수 없다고 보기 때문""이라고 덧붙였다.
프랑스는 신규 원전 건설을 추진 중이다. 2035년~2042년 '가압경수로(EPR) 2' 6기를 건설할 방침이다. 이것은 차세대 유럽형 EPR의 개선한 것이다. 2월 상원에 이어 지난달 하원이 관련 법안을 통과시켰다. 엘리자베트 보른 프랑스 총리는 ""기후변화 대응과 에너지 주권을 확보하기 위한 것""이라고 강조했다.
또 유럽 11개국 에너지 장관들은 2월28일 새로운 원자력 프로젝트 협력을 합의했다. 프랑스가 주도했고 불가리아, 크로아티아, 체코, 핀란드, 헝가리, 네덜란드, 폴란드, 루마니아, 슬로바키아, 슬로베니아가 참여했다.
이들은 신규 원전 건설 사업 공동 추진과 원자력 안전 규정 마련, 소형모듈원전(SMR) 등 신기술 개발에서 협력을 강화할 계획이다．",탄소중립
이데일리,마지막 원자력발전소 가동 중단하는 독일과 신규 원전 건설하는 프랑스...,네이버뉴스,https://n.news.naver.com/mnews/article/018/0005464457?sid=101,,이데일리,"독일, 완전 탈원전한다…오늘 자정에 남은 3기 영구정지","글로벌 에너지 위기에도 탈원전 고수…여파에 주목
원전 유지·확대 기조 선회한 영국·프랑스 등과 대조
[이데일리 김형욱 기자] 독일이 15일 자정(현지시간) 현재 가동 중인 원자력발전소(원전) 3기를 영구정지한다. 글로벌 에너지 위기 여파로 탈(脫)원전 기조가 주춤한 가운데 탈원전을 강행한 것이어서 여파에 관심이 쏠린다.
지난 2017년 영구정지한 독일 군트레밍겐 원자력발전소 모습. (사진=게티이미지)
15일 외신과 업계에 따르면 독일 정부는 이날 0시를 기해 현재 가동 중인 원전 엠스란트와 네카베스트하임2, 이자르2 3곳을 영구정지한다.
독일은 1961년 첫 원전 가동을 시작으로 최대 37기의 원전을 가동해 온 대표적인 원전 운용 국가였다. 그러나 1986년 체르노빌과 2011년 후쿠시마 원전 사고를 계기로 탈원전을 위한 법적 수순을 밟아 왔다. 인근 체르노빌에서의 사고 후 탈원전을 추진해 2000년께 이를 확정했다. 탈원전 시기를 늦추려는 움직임도 있었으나 이때 터진 후쿠시마 사고를 계기로 탈원전으로의 정책방향이 굳어졌다.
전 세계적으론 이례적 행보다. 지난해 2월 러시아-우크라이나 전쟁이 부추긴 글로벌 에너지 위기 여파로 탈원전 기조가 약화했기 때문이다. 세계 최대, 특히 유럽의 주요 천연가스 공급국인 러시아는 전쟁에 반발한 서방국의 경제제제에 대응해 천연가스 공급을 중단했고, 이 여파로 유럽을 비롯한 전 세계는 천연가스를 활용한 전력 생산 불확실성이 커지고 있다.
독일보다 먼저 탈원전을 선언한 스웨덴은 신규 원전 건설을 검토하기 시작했고, 벨기에 역시 원전 가동 시점을 2035년까지 늘려 잡았다. 원전 가동 비중이 높은 프랑스는 차치하더라도 탈원전 기조였던 영국, 네덜란드, 폴란드, 체코 등도 최근 신규 원전 건설을 추진하거나 검토 중인 상황이다. 한국도 2017년에 점진적 탈원전을 새로운 에너지정책 방향으로 정했으나 지난해 정권 교체와 함께 원전 확대 방침으로 선회한 상황이다.
윤석열 대통령이 올 1월16일(현지시간) 아랍에미리트(UAE) 바라카 원자력발전소에서 열린 바라카 원전 3호기 가동식에서 무함마드 빈 자예드 알 나흐얀 UAE 대통령 등 참석자들과 기념촬영하고 있다. (사진=연합뉴스)
독일도 원래 올 연말까지만 운영키로 했던 원전 3기 가동중단 시점을 3~4개월 늦췄으나 이를 예정대로 중단하고 10여 년에 걸친 해체 작업에 나서기로 했다. 독일은 2046년까지 자국 내 고준위 방사성폐기물 처리장을 구축해 현재 해체 중인 30여 원전에서 나온 고준위 방폐물을 처리할 계획이다.
독일이 탈원전과 함께 자국 내 안정 전력 공급과 탄소중립을 동시에 이뤄낼 수 있을지 관심을 끈다. 독일은 일찌감치 탈원전을 준비해온 만큼 풍력·태양광 등 신·재생에너지 발전 비중이 2020년 40%를 넘어섰으나 나머지 40%는 여전히 석탄·천연가스 화력발전 방식을 통해 공급하고 있다. 원전 없이 전 세계적 탄소중립 기조에 따르려면 이를 모두 신·재생 발전으로 충당하거나 주변국에서 끌어와야 하는 상황이다. 신·재생 발전은 생산량이 일정치 않고 전기 에너지는 저장이 어렵기에 독일 내 전력을 안정적으로 수급하는 게 쉽지 않은 과제다.
슈테피 렘케 독일 환경장관은 독일 언론을 통해 “이 세상 어떤 원전도 체르노빌·후쿠시마 같은 재앙적 사고 발생 가능성을 배제할 수 없다”며 “탈원전은 독일을 더 안전하게 하고 더는 방사성페기물을 만들지 않게 할 것”이라고 말했다.
독일의 원전 가동 중단을 앞둔 15일 오후 서울 광화문광장에서 환경보건시민센터 관계자들이 탈핵을 촉구하며 손팻말을 들고 있다. (사진=연합뉴스)",탄소중립
재단법인 기빙플러스,"기후위기 대응, 물품기부로 실천하는 ESG경영",,,,,,,탄소중립
국제자격검정원,탄소중립교육지도사 자격증 취득 및 무료수강 방법은?,,,,,,,탄소중립
한국능률교육평가원,"탄소중립교육지도사 자격증 뜻, 하는 일 취득정보정리",,,,,,,탄소중립
